,材料,试批号,实验屈服值,实验抗拉值,实验伸长率,牌号,钢种,出炉温度,加热时间,板坯厚度,中间坯厚度,粗轧压下率,精轧开轧温度,终轧温度,成品厚度,粗轧压缩比,精轧压缩比,C,Si,Mn,AlT,Nb,V,Ti,Ni,Cu,Cr,Mo,P,S,Ceq,Pcm,温度差
81,1215P95400,1LL013542400,307,438,42,SS400,ZA4D7100,1201,13026,264,110,0.183,895,856,54.7,2.4,2.011,0.15,0.16,0.6,0.018,0,0.003,0.003,0.02,0.03,0.03,0.01,0.019,0.0038,0.261933333,0.7878,39
82,1215P97400,1LL013542500,320,453,34.5,SS400,ZA4D7100,1193,13080,264,109.99,0.178,868,821,54.7,2.4,2.011,0.15,0.16,0.6,0.018,0,0.003,0.003,0.02,0.03,0.03,0.01,0.019,0.0038,0.261933333,0.7878,47
83,1215P99400,1LL013542600,328,432,24.5,SS400,ZA4D7100,1174,13620,264,110,0.172,886,838,54.7,2.4,2.011,0.15,0.16,0.6,0.018,0,0.003,0.003,0.02,0.03,0.03,0.01,0.019,0.0038,0.261933333,0.7878,48
84,1215Q07400,1LL013543300,335,438,38,SS400,YY000000,1187,13101,264,110,0.172,884,841,54.7,2.4,2.011,0.15,0.16,0.59,0.019,0.001,0.003,0.003,0.02,0.03,0.03,0.01,0.018,0.0034,0.260266667,0.7778,43
85,1215Q12400,1LL013543400,327,436,44,SS400,YY000000,1174,13624,264,110,0.172,884,835,54.7,2.4,2.011,0.15,0.16,0.59,0.019,0.001,0.003,0.003,0.02,0.03,0.03,0.01,0.018,0.0034,0.260266667,0.7778,49
86,1215P62800,1LL013544400,332,460,27.5,SS400,ZA4D6100,1201,13370,264,70,0.265,925,822,21.7,3.771,3.226,0.17,0.18,0.38,0.03,0,0,0.003,0.02,0.03,0.05,0.01,0.018,0.0044,0.248666667,0.589166667,103
87,1215P63800,1LL013544500,369,461,25,SS400,ZA4D6100,1205,13533,264,75,0.208,898,797,21.7,3.52,3.456,0.17,0.18,0.38,0.03,0,0,0.003,0.02,0.03,0.05,0.01,0.018,0.0044,0.248666667,0.589166667,101
88,1215P65800,1LL013544600,388,470,24.5,SS400,ZA4D6100,1203,13464,264,75,0.218,901,799,21.7,3.52,3.456,0.17,0.18,0.38,0.03,0,0,0.003,0.02,0.03,0.05,0.01,0.018,0.0044,0.248666667,0.589166667,102
89,1215P70800,1LL013544700,374,467,25.5,SS400,ZA4D6100,1200,13442,264,75,0.224,921,821,21.7,3.52,3.456,0.17,0.18,0.38,0.03,0,0,0.003,0.02,0.03,0.05,0.01,0.018,0.0044,0.248666667,0.589166667,100
90,1222M30800,1LL015243400,336,456,29,SS400,ZA4D7100,1171,13062,264,79.99,0.207,926,846,21.7,3.3,3.686,0.15,0.14,0.65,0.039,0.002,0,0.003,0.02,0.04,0.05,0,0.019,0.0029,0.272333333,0.847166667,80
91,1222M35800,1LL015243500,330,451,28,SS400,ZA4D7100,1172,13004,264,80,0.21,925,836,21.7,3.3,3.687,0.15,0.14,0.65,0.039,0.002,0,0.003,0.02,0.04,0.05,0,0.019,0.0029,0.272333333,0.847166667,89
92,1222M31400,1LL015243600,365,458,33.5,SS400,ZA4D7100,1178,13568,264,100,0.195,886,838,35.7,2.64,2.801,0.15,0.14,0.65,0.039,0.002,0,0.003,0.02,0.04,0.05,0,0.019,0.0029,0.272333333,0.847166667,48
93,1222M33400,1LL015243700,354,453,42,SS400,ZA4D7100,1209,52025,264,109.99,0.159,897,837,55.2,2.4,1.993,0.15,0.14,0.65,0.039,0.002,0,0.003,0.02,0.04,0.05,0,0.019,0.0029,0.272333333,0.847166667,60
94,1222M93800,1LL015246900,314,424,29.5,SS400,ZA4D6100,1163,12386,264,80,0.213,976,841,21.7,3.3,3.687,0.16,0.19,0.36,0.031,0,0,0.002,0.02,0.03,0.04,0.01,0.016,0.0018,0.233333333,0.559,135
95,1222Q32200,1LL015529600,340,456,26,SS400,ZF4H6100,1177,12975,264,100,0.251,895,843,35.6,2.64,2.809,0.19,0.16,0.55,0.032,0.001,0,0.004,0.02,0.03,0.04,0.01,0.01,0.0048,0.295,0.778,52
96,1303P05400,1LL018765800,341,464,24.5,SS400,ZF4H6100,1185,17575,302,79.99,0.195,885,814,24.4,3.775,3.278,0.16,0.2,0.62,0.027,0.001,0,0.004,0.02,0.04,0.08,0.01,0.011,0.0018,0.285333333,0.831333333,71
97,1318P08200,1LL023808500,346,445,28,SS400,ZA4D6100,1193,14109,264,75,0.246,941,833,21.9,3.52,3.425,0.16,0.19,0.45,0.032,0.002,0,0.002,0.02,0.02,0.04,0.01,0.013,0.0059,0.247666667,0.639,108
98,1326L86600,1LL025834500,341,467,28,SS400,ZA4D6100,1172,13868,264,90,0.183,864,800,36.1,2.933,2.493,0.16,0.18,0.36,0.029,0.001,0,0.002,0.02,0.04,0.04,0,0.016,0.0062,0.232,0.568,64
99,1326L88400,1LL025834600,314,461,29.5,SS400,ZA4D6100,1171,13969,264,89.99,0.185,866,824,36,2.934,2.5,0.16,0.18,0.36,0.029,0.001,0,0.002,0.02,0.04,0.04,0,0.016,0.0062,0.232,0.568,42
100,1326L97600,1LL025835500,366,452,28.5,SS400,ZA4D6100,1172,13917,264,90,0.187,886,834,36,2.933,2.5,0.17,0.16,0.36,0.032,0.001,0,0.003,0.01,0.03,0.03,0,0.015,0.004,0.238666667,0.566833333,52
101,1326L99600,1LL025835600,300,446,29.5,SS400,ZA4D6100,1185,15334,264,90,0.181,907,833,35.7,2.933,2.521,0.17,0.16,0.36,0.032,0.001,0,0.003,0.01,0.03,0.03,0,0.015,0.004,0.238666667,0.566833333,74
102,1326M01600,1LL025835700,290,435,29.5,SS400,ZA4D6100,1179,12419,264,89.99,0.189,885,837,36.1,2.934,2.493,0.17,0.16,0.36,0.032,0.001,0,0.003,0.01,0.03,0.03,0,0.015,0.004,0.238666667,0.566833333,48
